"country","year","Title","Genre"
"Romania, Russia, Hungary, Lithuania, France, Czech Republic, Italy, Poland, Slovakia",2008,"Inazuma Eleven","Action, Adventure, Animation, Fantasy, Sport, Thriller"
"Romania, Russia, Hungary, Lithuania, United States, India, Canada, South Africa, Australia, Singapore, United Kingdom, Thailand, Czech Republic",2012,"Jeff Dunham: Minding the Monsters","Comedy"
"Romania, Russia, Hungary, Lithuania, United States, South Africa, Australia, Singapore, India, United Kingdom, Canada, Thailand, Czech Republic",2008,"Jeff Dunhams Very Special Christmas Special","Comedy"
"Romania, Russia, Hungary, Netherlands, Czech Republic, Germany, Turkey, India, Slovakia, Hong Kong",2014,"John Wick","Action, Crime, Thriller"
"Romania, Russia, Hungary, United Kingdom, South Korea, Portugal, India, Czech Republic, Spain, Poland, Slovakia, Turkey",2006,"The Lake House","Drama, Fantasy, Romance"
"Romania, Russia, India, Lithuania, Canada, United Kingdom, South Africa, Singapore, Hong Kong, Thailand, Hungary, Czech Republic, United States, Greece, Slovakia, Malaysia, Iceland, Israel",2013,"SDU: Sex Duties Unit","Comedy"
"Romania, Russia, India, Lithuania, Sweden, Canada, United Kingdom, South Africa, Australia, Hungary, Singapore, Thailand, Czech Republic, United States",2012,"Joan Rivers: Dont Start with Me","Comedy"
"Romania, Russia, India, Lithuania, United Kingdom, Hong Kong, South Africa, Hungary, Iceland, Israel, Australia, Singapore, Greece, Malaysia",2010,"Wind Blast","Action"
"Romania, Russia, Lithuania, Hungary, South Africa, Czech Republic, Iceland, Israel, India, Greece, Slovakia",2016,"Three","Action, Crime, Thriller"
"Romania, Russia, Portugal, Iceland, Greece, Lithuania, Mexico, Spain, Switzerland, Italy, Canada, Belgium, Israel, South Africa, Czech Republic, Argentina, Thailand, France, Netherlands, Japan, South Korea, Sweden, Singapore, Poland, Hong Kong, Germany, India, Hungary, Brazil, Slovakia, Turkey, United Kingdom, United States",2019,"Iliza Shlesinger: Unveiled","Comedy"
"Romania, Singapore, Australia, Russia, India, Lithuania, Canada, United Kingdom, South Africa, Thailand, Hungary, Czech Republic, United States, Greece, Slovakia, Malaysia, Iceland, Israel",2014,"Dharmakshetra","Drama"
"Romania, Singapore, Czech Republic, Russia, Hungary, Slovakia, Lithuania, South Africa, Thailand, United Kingdom, Argentina, Canada, Iceland, India, Australia, Portugal, Switzerland, Japan, Mexico, Belgium, Germany, Sweden, Greece, Hong Kong, Spain, France, United States, Poland, Turkey, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",1994,"Andaz Apna Apna","Action, Comedy, Romance"
"Romania, Singapore, Czech Republic, Russia, India, Slovakia, Lithuania, Hungary, Sweden, United Kingdom, Canada, Belgium, South Africa, Greece, Iceland, Switzerland, Thailand, Australia, Mexico, France, Poland, Hong Kong, Portugal, Germany, Argentina, Spain, Turkey, Japan, United States",2013,"Bo Burnham: what.","Comedy, Music"
"Romania, Singapore, Russia, Poland, Sweden, Hungary, Israel, Belgium, Greece, Brazil, Lithuania, Portugal, Argentina, Czech Republic, Mexico, Hong Kong, France, Spain, Japan, Canada, South Africa, Netherlands, South Korea, Iceland, Italy, Thailand, Turkey, Australia, United Kingdom, India, United States, Switzerland, Slovakia, Germany, Colombia",2017,"Lommbock","Comedy"
"Romania, Singapore, South Korea, South Africa, Hungary, Lithuania, India, Australia, Mexico, United Kingdom, Canada, United States, Germany, Switzerland, Hong Kong, Russia, Slovakia, Thailand, Argentina, Czech Republic, Greece, Turkey, Malaysia, Iceland, Israel, Colombia",2016,"46","Action, Crime, Drama, Mystery, Thriller"
"Romania, Slovakia, Hungary, Germany, Czech Republic",2015,"Knock Knock","Drama, Thriller"
"Romania, South Africa, India",2014,"And So It Goes","Comedy, Drama, Romance"
"Romania, South Africa, South Korea, Russia, Australia, Poland, Singapore, Hungary, India, Lithuania, Canada, Hong Kong, United Kingdom, Sweden, Thailand, Turkey, Czech Republic, Belgium, United States, Greece, Slovakia, Malaysia, Netherlands, Iceland, Israel",2015,"Transformers: Robots in Disguise","Action, Adventure, Animation, Comedy, Sci-Fi"
"Romania, South Africa, Switzerland, India, Mexico, Canada, Russia, Thailand, United Kingdom, France, Iceland, Brazil, Germany, Israel, Italy, Australia, Poland, Singapore, Argentina, Greece, Malaysia, Colombia",2017,"Nocturama","Drama, Thriller"
"Romania, South Africa, Thailand, Singapore, India, Argentina, Malaysia, Mexico, Colombia",2018,"Revenge","Drama, Short"
"Romania, South Korea, France, Japan, Hungary, India, Belgium, Iceland, Portugal, Mexico, Switzerland, Lithuania, Russia, United Kingdom, Brazil, Czech Republic, Netherlands, Spain, Germany, South Africa, Israel, Italy, Australia, Poland, Argentina, Greece, Slovakia, Sweden, Turkey, Colombia",2012,"This Is 40","Comedy, Romance"
"Romania, South Korea, Hungary, Japan, Belgium, Canada, Thailand, Czech Republic, Netherlands, Russia, Australia, Brazil, Argentina, Malaysia, Slovakia, Turkey, Mexico, Colombia",2015,"Sicario","Action, Crime, Drama, Mystery, Thriller"
"Romania, South Korea, Hungary, Japan, Russia, Canada, Thailand, Netherlands, Czech Republic, Turkey, Germany, Switzerland, Mexico, Argentina, Brazil, Colombia",2016,"Nerve","Adventure, Crime, Drama, Mystery, Thriller"
"Romania, South Korea, Japan, Russia, Lithuania, Hungary, Portugal, Belgium, South Africa, Brazil, Netherlands, Spain, Czech Republic, Iceland, Israel, Germany, Italy, Poland, Argentina, Sweden, Turkey, India, Mexico, Colombia, Greece",2012,"Madagascar 3: Europes Most Wanted","Adventure, Animation, Comedy, Family"
"Romania, South Korea, Lithuania, Hungary, Hong Kong, Russia, Thailand, South Africa, Portugal, France, Japan, Switzerland, Belgium, Czech Republic, Netherlands, Spain, Germany, Israel, Poland, Singapore, India, Greece, Malaysia, Slovakia, Turkey",2001,"The Glass House","Crime, Drama, Mystery, Thriller"
"Romania, South Korea, Lithuania, United Kingdom, Russia, Canada, South Africa, Thailand, Hungary, France, Hong Kong, Mexico, Belgium, India, Brazil, Czech Republic, Israel, Italy, Poland, Singapore, Argentina, Greece, Slovakia, Malaysia, Turkey, Colombia",2002,"Max and Ruby","Animation, Family"
"Romania, South Korea, Russia, Mexico, Belgium, Hungary, Brazil, Germany, Czech Republic, Italy, Poland, Argentina, Greece, Slovakia, Sweden, Iceland, Colombia",2012,"Jack Reacher","Action, Thriller"
"Romania, South Korea, Sweden, United States, Iceland, Poland, Italy, Spain, Greece, Czech Republic, Belgium, Portugal, Hungary, Slovakia, Netherlands, Switzerland, Australia, Turkey, Hong Kong, France, Mexico, Argentina, Brazil, Thailand, Singapore, Lithuania, Israel, United Kingdom, Malaysia, Russia, Colombia",2013,"Turbo","Adventure, Animation, Comedy, Family, Sci-Fi, Sport"
"Romania, South Korea, United Kingdom, Canada, Czech Republic, Hungary",2005,"Just Friends","Comedy, Romance"
"Romania, South Korea, United Kingdom, France, Iceland, Mexico, Belgium, Portugal, Hong Kong, Japan, India, South Africa, Hungary, Brazil, Czech Republic, Netherlands, Spain, Israel, Italy, Poland, Argentina, Greece, Slovakia, Sweden, Turkey, Colombia",2009,"The Invention of Lying","Comedy, Fantasy, Romance"
"Romania, Spain, Canada, United Kingdom, Hong Kong, Switzerland, Germany, Australia, Japan, Mexico, Poland, Russia, Singapore, Sweden, Czech Republic, India, Hungary, Lithuania, Belgium, Slovakia, Greece, Argentina, Portugal, South Africa, Iceland, Thailand, Turkey, France, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2018,"Violet Evergarden: Special","Animation, Drama, Fantasy, Sci-Fi"
"Romania, Spain, Czech Republic, Slovakia, Hungary",2014,"The Hundred-Foot Journey","Comedy, Drama"
"Romania, Sweden, Argentina, Mexico, United Kingdom, India, Poland, France, Czech Republic, Hungary, Lithuania, Russia, Spain, Germany, United States, South Korea, Australia, Hong Kong, Japan, Singapore, Greece, Switzerland, Slovakia, Thailand, Belgium, Turkey, Malaysia, Brazil, Netherlands, Italy, South Africa, Iceland, Portugal, Israel, Colombia",2005,"Doom","Action, Horror, Sci-Fi"
"Romania, Switzerland, Belgium, France, Portugal, Japan, Thailand, Brazil, Netherlands, Spain, Germany, Israel, Italy, Poland, Greece, Argentina, Sweden, Turkey, Mexico, Colombia",2008,"A Wednesday","Action, Crime, Drama, Mystery, Thriller"
"Romania, Switzerland, Belgium, South Korea, Netherlands, Iceland, Italy, Australia, Turkey, Poland, Spain, Greece, Czech Republic, Hungary, Slovakia, Lithuania, Portugal, India, Mexico, Argentina, Brazil, Colombia, France",2018,"Call Me by Your Name","Drama, Romance"
"Romania, Switzerland, Canada, Lithuania, Hungary, Russia, Belgium, Brazil, Czech Republic, Netherlands, Iceland, Israel, Italy, Poland, Argentina, Slovakia, Turkey, Mexico, Colombia",2011,"Priest","Action, Horror, Thriller"
"Romania, Switzerland, Hungary, Belgium, France, Czech Republic, Portugal, Italy, Poland, Slovakia, Sweden, United States",2002,"Two Weeks Notice","Comedy, Romance"
"Romania, Switzerland, South Korea, Belgium, Brazil, Australia, India, Argentina, Turkey, Mexico, Poland, Czech Republic, Hungary, Slovakia, Germany, Lithuania, Israel, Colombia, Japan",2017,"Blade Runner 2049","Action, Drama, Mystery, Sci-Fi, Thriller"
"Romania, Switzerland, Spain, United Kingdom, Canada, Hong Kong, South Africa, Portugal, Australia, France, Japan, South Korea, Poland, Singapore, Russia, Sweden, Czech Republic, Slovakia, Germany, India, Lithuania, Belgium, Iceland, Thailand, Hungary, Argentina, Mexico, Turkey, Greece, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2018,"Larva Island","Adventure, Animation, Comedy"
"Romania, Switzerland, Spain, United Kingdom, Canada, South Africa, Iceland, Mexico, United States, Israel, Italy, Czech Republic, Thailand, Australia, Belgium, South Korea, Japan, Poland, France, Netherlands, Russia, Sweden, Portugal, Singapore, Hong Kong, India, Germany, Greece, Lithuania, Brazil, Slovakia, Argentina, Hungary, Turkey, Malaysia, Colombia",2019,"Hyperdrive","Reality-TV"
"Romania, Thailand, Australia, Russia, Singapore, Lithuania, South Africa, United Kingdom, Canada, United States, Hungary, India, Czech Republic, Greece, Slovakia, Malaysia, Iceland, Israel",2019,"Chhota Bheem","Action, Adventure, Animation"
"Romania, Thailand, Hong Kong, United Kingdom, France, Iceland, Mexico, Belgium, Japan, South Korea, India, Hungary, Netherlands, Czech Republic, Germany, Poland, Greece, Sweden, Turkey, Italy, Spain, Portugal, Lithuania, Russia, Argentina, Brazil",2009,"Land of the Lost","Action, Adventure, Comedy, Sci-Fi"
"Romania, Thailand, South Africa, Australia, Singapore, Russia, India, Hungary, Lithuania, United Kingdom, Canada, Czech Republic, United States, Greece, Slovakia, Malaysia, Iceland, Israel",2019,"Evvarikee Cheppoddu","Drama"
"Romania, Thailand, Turkey, France, Australia, Belgium, Russia, Poland, Singapore, Sweden, Hungary, Germany, India, Lithuania, Slovakia, Switzerland, Spain, United Kingdom, Argentina, Canada, Iceland, South Africa, Mexico, Czech Republic, Portugal, Japan, Greece, South Korea, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2019,"Wait, My Youth","Romance"
"Romania, Turkey, Lithuania, Mexico, South Africa, Russia, United Kingdom, Canada, Australia, India, Iceland, Hong Kong, Singapore, Spain, Argentina, Czech Republic, Slovakia, Germany, Hungary, Portugal, France, Poland, Japan, Thailand, Greece, Belgium, Sweden, Brazil, Netherlands, Israel, Italy, United States, Colombia",2013,"Madras Café","Action, Drama, Thriller"
"Romania, Turkey, Lithuania, Mexico, South Africa, Switzerland, Russia, United Kingdom, Canada, Australia, India, Iceland, Hong Kong, Singapore, Spain, Argentina, Czech Republic, Slovakia, Germany, Hungary, Portugal, France, Poland, Japan, Thailand, Greece, Belgium, Sweden, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2012,"Aiyyaa","Comedy, Romance"
"Romania, Turkey, Lithuania, Mexico, South Africa, Switzerland, Russia, United Kingdom, Canada, Australia, India, Iceland, Hong Kong, Singapore, Spain, Argentina, Czech Republic, Slovakia, Germany, Hungary, Portugal, France, Poland, Japan, Thailand, Greece, Belgium, Sweden, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2012,"Players","Action, Crime, Thriller"
"Romania, Turkey, Lithuania, Mexico, South Africa, Switzerland, Russia, United Kingdom, Canada, Australia, India, Iceland, Hong Kong, Singapore, Spain, Argentina, Czech Republic, Slovakia, Germany, Hungary, Portugal, France, Poland, Japan, Thailand, Greece, Belgium, Sweden, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2015,"Pyaar Ka Punchnama 2","Comedy, Drama, Romance"
"Romania, United Kingdom, Argentina, Hong Kong, United States, Australia, Japan, Russia, Singapore, Poland, Sweden, India, Slovakia, Germany, Lithuania, South Africa, Mexico, Thailand, Hungary, South Korea, Turkey, Spain, Portugal, Czech Republic, Greece, Malaysia, Brazil, Netherlands, Italy, Iceland, Israel, Colombia",2018,"Pachamama","Adventure, Animation, Family, Fantasy"
"Romania, United Kingdom, Belgium, Netherlands, Czech Republic, Sweden, Turkey, Hungary, Germany, Switzerland",2014,"Need for Speed","Action, Thriller"
"Romania, United Kingdom, Hungary, Russia, India, Lithuania, Belgium, Switzerland, France, South Africa, Japan, Hong Kong, Thailand, Iceland, Czech Republic, Netherlands, Spain, Germany, Portugal, Israel, Italy, Australia, Poland, Singapore, Greece, Malaysia, Slovakia, Sweden, Turkey",2013,"The Masters Sun","Comedy, Fantasy, Horror, Romance"
"Romania, United Kingdom, Japan, Switzerland, India, Hungary, Thailand, Mexico, Brazil, Czech Republic, Germany, Australia, Argentina, Malaysia, Slovakia, Sweden, Turkey, Belgium, Netherlands, Colombia, Spain",2014,"Divergent","Action, Adventure, Mystery, Sci-Fi"
"Romania, United Kingdom, Spain, Greece, Canada, Hong Kong, United States, Switzerland, Portugal, Argentina, Australia, Japan, Russia, France, South Korea, Singapore, Czech Republic, Belgium, Sweden, Netherlands, India, Poland, Hungary, Slovakia, Germany, Brazil, Lithuania, South Africa, Mexico, Iceland, Israel, Italy, Thailand, Turkey, Malaysia, Colombia",2018,"Cam","Drama, Horror, Mystery, Thriller"
"Romania, United Kingdom, Switzerland, Germany, Sweden, Czech Republic, Slovakia, United States, Hungary, Spain",2009,"Defiance","Action, Drama, History, Thriller, War"
"Romania, United States",2008,"The Bank Job","Crime, Drama, Thriller"
"Russia",1967,"1812: <U+0423><U+043B><U+0430><U+043D><U+0441><U+043A><U+0430><U+044F> <U+0431><U+0430><U+043B><U+043B><U+0430><U+0434><U+0430>","Drama, History, War"
"Russia",1980,"Fame","Drama, Music, Musical"
"Russia",1982,"Night Shift","Comedy"
"Russia",1984,"Double Trouble","Action, Comedy"
"Russia",1985,"The Breakfast Club","Comedy, Drama"
"Russia",1991,"<U+0427><U+0435><U+0441><U+0442><U+043D><U+043E><U+0435> <U+043F><U+0438><U+043E><U+043D><U+0435><U+0440><U+0441><U+043A><U+043E><U+0435> 2","Action, Sci-Fi"
"Russia",1991,"2 <U+0434><U+043D><U+044F>","Action, Sci-Fi"
"Russia",1995,"Eclipse","Drama, Romance"
"Russia",1998,"Fear and Loathing in Las Vegas","Adventure, Comedy, Drama"
"Russia",1998,"The Prince of Egypt","Adventure, Animation, Drama, Family, Fantasy, Musical"
"Russia",1999,"Dudley Do-Right","Comedy, Family, Romance"
"Russia",1999,"Im losing it","Action, Adventure, Fantasy, Sci-Fi"
"Russia",2002,"Friends Of Friends","Drama, Romance"
"Russia",2002,"Spirit: Stallion of the Cimarron","Adventure, Animation, Drama, Family, Western"
"Russia",2002,"Women vs. Men","Comedy"
"Russia",2003,"In the Cut","Mystery, Thriller"
"Russia",2003,"Johnny English","Action, Adventure, Comedy"
"Russia",2004,"The Very Best Day","Documentary, Short"
"Russia",2004,"War of the sexes","Drama, Romance"
"Russia",2005,"A History of Violence","Drama, Thriller"
"Russia",2005,"Spiral","Crime, Drama, Mystery"
"Russia",2008,"2 Alone in Paris","Comedy"
"Russia",2008,"Atonement","Drama, Mystery, Romance, War"
"Russia",2008,"Beethoven Virus","Comedy, Drama, Romance"
"Russia",2010,"<U+0427><U+0435><U+0441><U+0442><U+043D><U+043E><U+0435> <U+043F><U+0438><U+043E><U+043D><U+0435><U+0440><U+0441><U+043A><U+043E><U+0435> 3","Adventure, Animation, Comedy, Family, Fantasy"
"Russia",2010,"Devil","Horror, Mystery, Thriller"
"Russia",2010,"Saint Petersburg","Comedy, Crime, Drama"
"Russia",2011,"<U+0412><U+0438><U+043A><U+0438><U+043D><U+0433> 18+","Horror, Mystery, Sci-Fi, Thriller"
"Russia",2011,"8 <U+043F><U+0435><U+0440><U+0432><U+044B><U+0445> <U+0441><U+0432><U+0438><U+0434><U+0430><U+043D><U+0438><U+0439>","Mystery, Sci-Fi, Thriller"
"Russia",2011,"Dragon","Action, Crime, Drama, Thriller"
"Russia",2011,"Johnny English Reborn","Action, Adventure, Comedy"
"Russia",2011,"Lucky Trouble","Comedy, Romance, Sport"
"Russia",2012,"30 Dates","Comedy"
"Russia",2012,"Arang and the Magistrate","Action, Comedy, Fantasy, History, Mystery, Romance"
"Russia",2012,"The King 2 Hearts","Action, Drama, Romance"
"Russia",2013,"2 Weeks","Crime, Drama"
"Russia",2013,"Game of Truth","Comedy, Drama"
"Russia",2014,"22 <U+043C><U+0438><U+043D><U+0443><U+0442><U+044B>","Action, Comedy, Crime"
"Russia",2014,"B-Day!","Comedy, Horror, Short"
